LSOA11CD,total_population,imd_score,imd_decile,income_score,health_score,crime_score
E01000199,1636,7.222,9,0.056,-2.149,-0.138
E01000200,1940,9.566,8,0.081,-1.812,0.008
E01000201,1582,7.184,9,0.041,-1.855,-0.066
E01000202,1766,6.735,9,0.053,-1.941,-0.497
E01000203,1824,15.523,6,0.114,-1.173,-0.564
E01000204,1737,10.063,8,0.068,-1.795,0.3
E01000205,1610,7.725,9,0.053,-1.993,0.215
E01000206,1538,9.118,8,0.013,-2.703,0.147
E01000207,1572,6.585,9,0.042,-2.053,-0.487
E01000208,1644,6.612,9,0.028,-2.453,0.17
E01000209,1502,7.058,9,0.048,-1.562,-0.013
E01000210,1571,8.197,9,0.058,-1.85,0.359
E01000211,2240,14.568,6,0.112,-0.835,-0.369
E01000212,1489,10.294,8,0.063,-1.669,-0.219
E01000213,1405,7.583,9,0.028,-2.218,-0.45
E01000214,1760,10.503,8,0.046,-2.082,0.283
E01000215,2222,13.565,7,0.103,-0.575,-0.456
E01000216,2082,10.017,8,0.071,-1.305,-0.268
E01000217,1830,10.826,8,0.066,-1.212,-0.342
E01000218,1946,15.33,6,0.104,-0.755,0.132
E01000219,1982,19.87,5,0.097,-0.764,0.403
E01000220,2075,17.109,6,0.117,-0.48,-0.403
E01000221,1372,45.842,1,0.28,0.346,1.127
E01000222,1733,27.098,3,0.163,-0.287,0.729
E01000223,1381,35.812,2,0.225,-0.005,0.888
E01000224,1653,19.679,5,0.152,-0.928,-0.054
E01000225,1979,10.981,8,0.066,-1.052,-0.009
E01000226,1792,31.658,3,0.224,0.373,-0.171
E01000227,1944,9.965,8,0.082,-1.687,-0.601
E01000228,1518,12.492,7,0.079,-1.232,0.618
E01000229,1767,21.609,4,0.135,-0.868,0.071
E01000230,1867,7.886,9,0.071,-1.463,-0.336
E01000231,2003,17.628,6,0.103,-1.112,0.156
E01000232,1983,14.534,6,0.114,-0.843,0.019
E01000233,1884,8.853,8,0.069,-1.829,-0.162
E01000234,1819,8.657,8,0.067,-1.185,-0.259
E01000235,1816,23.347,4,0.164,-0.622,0.481
E01000236,1956,10.572,8,0.079,-1.135,-0.545
E01000237,2138,9.545,8,0.055,-1.722,0.266
E01000238,2035,14.457,6,0.096,-1.429,-0.19
E01000239,2018,21.568,4,0.137,-0.872,-0.006
E01000240,1751,19.599,5,0.118,-1.108,0.071
E01000241,1794,10.706,8,0.071,-1.771,-0.181
E01000242,1722,19.154,5,0.125,-0.959,0.287
E01000243,1891,14.093,7,0.084,-0.996,0.105
E01000244,1680,15.649,6,0.076,-1.024,0.292
E01000245,2173,24.116,4,0.168,-0.366,0.449
